"","x"
"ASV_0058 Peptostreptococcaceae.g Peptostreptococcus",2
"ASV_0059 Microbacteriaceae.g Cryobacterium",9
"ASV_0060 Planococcaceae.g Caryophanon",5
"ASV_0061 Alcaligenaceae.g Pigmentiphaga",7
"ASV_0062 Aerococcaceae.g Aerococcus",9
"ASV_0063 Weeksellaceae.g Chryseobacterium",9
"ASV_0064 Caulobacteraceae.g Brevundimonas",1
"ASV_0065 Alcaligenaceae.g Advenella",7
"ASV_0066 Weeksellaceae.g Chryseobacterium",7
"ASV_0067 Fusobacteriaceae.g Fusobacterium",2
"ASV_0068 Rhizobiaceae.g Neorhizobium",1
"ASV_0069 Sphingomonadaceae.g Sphingomonas",5
"ASV_0070 Moraxellaceae.g Acinetobacter",1
"ASV_0071 Pseudomonadaceae.g Pseudomonas",9
"ASV_0072 Weeksellaceae.g Chryseobacterium",9
"ASV_0073 Sphingobacteriaceae.g Pedobacter",7
"ASV_0074 Fusobacteriaceae.g Fusobacterium",2
"ASV_0075 Brevibacteriaceae.g Brevibacterium",9
"ASV_0076 Caulobacteraceae.g Brevundimonas",1
"ASV_0077 Crocinitomicaceae.g Fluviicola",1
"ASV_0078 Moraxellaceae.g Psychrobacter",5
"ASV_0079 Weeksellaceae.g Chryseobacterium",1
"ASV_0080 Pseudomonadaceae.g Pseudomonas",9
"ASV_0081 Family XI.g Helcococcus",2
"ASV_0082 Caulobacteraceae.g Brevundimonas",7
"ASV_0083 Carnobacteriaceae.g Jeotgalibaca",4
"ASV_0084 Family XI.g Murdochiella",2
"ASV_0085 Chitinophagaceae.g Filobacterium",5
"ASV_0086 Weeksellaceae.g Chryseobacterium",1
"ASV_0087 Comamonadaceae.g NA",1
"ASV_0088 Pseudomonadaceae.g Pseudomonas",9
"ASV_0089 Sphingobacteriaceae.g Sphingobacterium",1
"ASV_0090 Microbacteriaceae.g NA",9
"ASV_0091 Flavobacteriaceae.g Flavobacterium",9
"ASV_0092 Flavobacteriaceae.g Flavobacterium",7
"ASV_0093 Pseudomonadaceae.g Pseudomonas",9
"ASV_0094 Sporolactobacillaceae.g NA",5
"ASV_0095 Sphingobacteriaceae.g Pedobacter",9
"ASV_0096 Sphingobacteriaceae.g Pedobacter",7
"ASV_0097 Xanthobacteraceae.g Bradyrhizobium",5
"ASV_0098 Flavobacteriaceae.g Flavobacterium",7
"ASV_0100 Carnobacteriaceae.g Trichococcus",4
"ASV_0101 Sphingobacteriaceae.g Pedobacter",1
"ASV_0102 Pseudomonadaceae.g Pseudomonas",9
"ASV_0103 Sphingobacteriaceae.g Pedobacter",7
"ASV_0104 Staphylococcaceae.g NA",4
"ASV_0105 Microbacteriaceae.g Plantibacter",9
"ASV_0106 Flavobacteriaceae.g Flavobacterium",9
"ASV_0107 Enterobacteriaceae.g Klebsiella",9
"ASV_0108 Sphingobacteriaceae.g Sphingobacterium",9
"ASV_0109 Caulobacteraceae.g Brevundimonas",9
"ASV_0110 Oxalobacteraceae.g Duganella",1
"ASV_0111 Aeromonadaceae.g Aeromonas",9
"ASV_0113 Microbacteriaceae.g Microbacterium",9
"ASV_0114 Streptomycetaceae.g Streptomyces",9
"ASV_0115 Cardiobacteriaceae.g Suttonella",9
"ASV_0116 Moraxellaceae.g Acinetobacter",4
"ASV_0117 Pseudomonadaceae.g Pseudomonas",9
"ASV_0118 Beijerinckiaceae.g MethylobacteriumMethylorubrum",9
"ASV_0119 Mitochondria.g NA",5
"ASV_0120 Mycoplasmataceae.g Mycoplasma",9
"ASV_0121 Weeksellaceae.g Chryseobacterium",9
"ASV_0122 Oxalobacteraceae.g Massilia",7
"ASV_0123 Caulobacteraceae.g Brevundimonas",1
"ASV_0124 Comamonadaceae.g Limnohabitans",7
"ASV_0125 Caulobacteraceae.g Brevundimonas",9
"ASV_0126 Sphingobacteriaceae.g Sphingobacterium",1
"ASV_0127 Comamonadaceae.g NA",9
"ASV_0128 Sphingobacteriaceae.g Pedobacter",9
"ASV_0129 Sphingobacteriaceae.g NA",9
"ASV_0130 Sphingobacteriaceae.g Arcticibacter",9
"ASV_0131 Pseudomonadaceae.g Pseudomonas",9
"ASV_0132 Leptotrichiaceae.g Caviibacter",2
"ASV_0133 Moraxellaceae.g Moraxella",2
"ASV_0134 Pseudomonadaceae.g Pseudomonas",9
"ASV_0135 Moraxellaceae.g Faucicola",9
"ASV_0136 Flavobacteriaceae.g Flavobacterium",1
"ASV_0137 Pseudomonadaceae.g Pseudomonas",9
"ASV_0138 Xanthomonadaceae.g Stenotrophomonas",1
"ASV_0140 Alcaligenaceae.g Verticiella",9
"ASV_0141 Erysipelotrichaceae.g Erysipelothrix",4
"ASV_0142 Moraxellaceae.g Acinetobacter",9
"ASV_0143 Weeksellaceae.g Chryseobacterium",9
"ASV_0144 Aerococcaceae.g Aerosphaera",4
"ASV_0145 Flavobacteriaceae.g Flavobacterium",1
"ASV_0146 Family XI.g Murdochiella",4
"ASV_0147 Family XI.g W5053",4
"ASV_0148 NA.g NA",9
"ASV_0149 Pasteurellaceae.g Haemophilus",9
"ASV_0150 Rhodobacteraceae.g Gemmobacter",1
"ASV_0151 Xanthomonadaceae.g Thermomonas",1
"ASV_0152 Peptostreptococcaceae.g Peptoanaerobacter",9
"ASV_0153 Micrococcaceae.g Pseudarthrobacter",7
"ASV_0154 Moraxellaceae.g Acinetobacter",9
"ASV_0155 Microbacteriaceae.g NA",9
"ASV_0156 Comamonadaceae.g NA",1
"ASV_0157 Microbacteriaceae.g Gulosibacter",4
"ASV_0158 Xanthomonadaceae.g Stenotrophomonas",7
"ASV_0159 Sphingobacteriaceae.g Pedobacter",9
"ASV_0160 Weeksellaceae.g Chryseobacterium",9
"ASV_0161 Pasteurellaceae.g NA",9
"ASV_0162 Devosiaceae.g Devosia",1
"ASV_0163 Caulobacteraceae.g Brevundimonas",9
"ASV_0164 Microbacteriaceae.g Microbacterium",9
"ASV_0165 Sphingobacteriaceae.g Sphingobacterium",9
"ASV_0166 Weeksellaceae.g Chryseobacterium",9
"ASV_0167 Cellulomonadaceae.g Oerskovia",9
"ASV_0168 Flavobacteriaceae.g Flavobacterium",9
"ASV_0169 Fusobacteriaceae.g Fusobacterium",9
"ASV_0170 Micrococcaceae.g Neomicrococcus",4
"ASV_0171 Guggenheimella.g NA",4
"ASV_0172 Weeksellaceae.g Chryseobacterium",7
"ASV_0173 Weeksellaceae.g Chryseobacterium",1
"ASV_0174 Caulobacteraceae.g Brevundimonas",1
"ASV_0175 Rhizobiaceae.g Neorhizobium",9
"ASV_0176 Pseudomonadaceae.g Pseudomonas",4
"ASV_0177 Family XI.g W5053",4
"ASV_0178 Moraxellaceae.g Acinetobacter",9
"ASV_0179 Flavobacteriaceae.g NA",9
"ASV_0180 Moraxellaceae.g Acinetobacter",9
"ASV_0181 Carnobacteriaceae.g NA",9
"ASV_0182 Flavobacteriaceae.g Flavobacterium",9
"ASV_0183 Peptostreptococcaceae.g Paeniclostridium",4
"ASV_0184 Aerococcaceae.g Facklamia",4
"ASV_0185 Weeksellaceae.g Chryseobacterium",9
"ASV_0186 Planococcaceae.g Kurthia",4
"ASV_0187 Caulobacteraceae.g Brevundimonas",9
"ASV_0188 Comamonadaceae.g Ramlibacter",1
"ASV_0189 Alcaligenaceae.g Oligella",4
"ASV_0190 Moraxellaceae.g Acinetobacter",9
"ASV_0191 Pseudomonadaceae.g Pseudomonas",9
"ASV_0192 Comamonadaceae.g Pelomonas",9
"ASV_0193 Dermabacteraceae.g Brachybacterium",9
"ASV_0194 Caulobacteraceae.g Brevundimonas",9
"ASV_0195 Comamonadaceae.g Comamonas",4
"ASV_0196 Mitochondria.g NA",9
"ASV_0197 Pseudomonadaceae.g Pseudomonas",9
"ASV_0198 Peptostreptococcaceae.g Romboutsia",4
"ASV_0199 Planococcaceae.g NA",4
"ASV_0200 Dietziaceae.g Dietzia",4
"ASV_0201 Oscillospiraceae.g UCG005",4
"ASV_0202 Hungateiclostridiaceae.g Fastidiosipila",4
"ASV_0203 Flavobacteriaceae.g Flavobacterium",4
"ASV_0204 Carnobacteriaceae.g Atopostipes",4
"ASV_0205 Xanthomonadaceae.g Stenotrophomonas",9
"ASV_0206 Actinomycetaceae.g Trueperella",4
"ASV_0207 Peptostreptococcaceae.g Clostridioides",9
"ASV_0208 Dietziaceae.g Dietzia",4
"ASV_0209 Pseudomonadaceae.g Pseudomonas",9
"ASV_0210 Pasteurellaceae.g Mannheimia",9
"ASV_0211 Comamonadaceae.g Delftia",9
"ASV_0212 Microbacteriaceae.g NA",9
"ASV_0213 NA.g NA",7
"ASV_0214 Campylobacteraceae.g Campylobacter",9
"ASV_0215 Campylobacteraceae.g Campylobacter",9
"ASV_0216 Pasteurellaceae.g Mannheimia",9
"ASV_0217 Lachnospiraceae.g Lachnospiraceae NK3A20 group",4
"ASV_0218 Sphingomonadaceae.g Sphingopyxis",9
"ASV_0219 Comamonadaceae.g Limnohabitans",9
"ASV_0220 Devosiaceae.g Devosia",9
"ASV_0221 Unknown Family.g Acidibacter",9
"ASV_0222 Sphingobacteriaceae.g Sphingobacterium",9
"ASV_0223 Sphingobacteriaceae.g Sphingobacterium",1
"ASV_0224 Moraxellaceae.g Acinetobacter",9
"ASV_0225 Oscillospiraceae.g UCG005",4
"ASV_0226 Aerococcaceae.g Facklamia",4
"ASV_0227 Moraxellaceae.g Acinetobacter",9
"ASV_0228 Microbacteriaceae.g NA",9
"ASV_0229 Corynebacteriaceae.g Corynebacterium",4
"ASV_0230 Moraxellaceae.g Acinetobacter",1
"ASV_0231 Flavobacteriaceae.g Flavobacterium",9
"ASV_0232 Weeksellaceae.g Chryseobacterium",1
"ASV_0233 Devosiaceae.g Devosia",9
"ASV_0234 Flavobacteriaceae.g Flavobacterium",9
"ASV_0235 Moraxellaceae.g Acinetobacter",1
"ASV_0236 Alcaligenaceae.g Verticiella",9
"ASV_0237 Family XI.g Helcococcus",9
"ASV_0238 Burkholderiaceae.g Lautropia",9
"ASV_0240 Weeksellaceae.g Bergeyella",9
"ASV_0241 Sphingobacteriaceae.g Sphingobacterium",1
"ASV_0242 Family XI.g Helcococcus",9
"ASV_0243 Actinomycetaceae.g Trueperella",9
"ASV_0244 Paenibacillaceae.g Paenibacillus",9
"ASV_0245 Clostridiaceae.g Clostridium sensu stricto 1",9
"ASV_0246 Sphingobacteriaceae.g Sphingobacterium",1
"ASV_0247 Pseudomonadaceae.g Pseudomonas",9
"ASV_0248 Carnobacteriaceae.g Atopostipes",9
"ASV_0249 Family XI.g Helcococcus",4
"ASV_0250 Streptococcaceae.g Streptococcus",9
"ASV_0251 Erwiniaceae.g Erwinia",9
"ASV_0252 Rhizobiaceae.g Aureimonas",9
"ASV_0253 Weeksellaceae.g Chryseobacterium",9
"ASV_0254 Xanthomonadaceae.g Stenotrophomonas",9
"ASV_0255 Moraxellaceae.g Moraxella",9
"ASV_0256 Porphyromonadaceae.g Porphyromonas",9
"ASV_0257 Pseudomonadaceae.g Pseudomonas",9
"ASV_0258 Streptococcaceae.g Streptococcus",9
"ASV_0259 Planococcaceae.g Lysinibacillus",4
"ASV_0260 Alcaligenaceae.g NA",9
"ASV_0261 Bacteroidaceae.g Bacteroides",9
"ASV_0262 Xanthomonadaceae.g Luteimonas",4
"ASV_0263 Micrococcaceae.g Micrococcus",4
"ASV_0264 Sphingobacteriaceae.g Pedobacter",9
"ASV_0265 Anaerovoracaceae.g Mogibacterium",4
"ASV_0266 Moraxellaceae.g Psychrobacter",4
"ASV_0267 Comamonadaceae.g Comamonas",1
"ASV_0268 Aerococcaceae.g Ignavigranum",4
"ASV_0269 Moraxellaceae.g Acinetobacter",4
"ASV_0270 Sporolactobacillaceae.g NA",9
"ASV_0271 Family XI.g Helcococcus",9
"ASV_0272 Sphingobacteriaceae.g Sphingobacterium",9
"ASV_0273 Hungateiclostridiaceae.g Fastidiosipila",4
"ASV_0275 Carnobacteriaceae.g NA",9
"ASV_0276 Peptostreptococcaceae.g Romboutsia",4
"ASV_0277 Actinomycetaceae.g Flaviflexus",4
"ASV_0278 Chitinophagaceae.g NA",9
"ASV_0280 Arcobacteraceae.g Arcobacter",9
"ASV_0281 Weeksellaceae.g Chryseobacterium",9
"ASV_0282 Azospirillaceae.g Azospirillum",9
"ASV_0283 Carnobacteriaceae.g NA",9
"ASV_0284 Alteromonadaceae.g Rheinheimera",9
"ASV_0285 Campylobacteraceae.g Campylobacter",9
"ASV_0286 Micrococcaceae.g Micrococcus",4
"ASV_0287 Ruminococcaceae.g Ruminococcus",4
"ASV_0288 Porphyromonadaceae.g NA",9
"ASV_0289 Xanthomonadaceae.g Thermomonas",9
"ASV_0290 NA.g NA",4
"ASV_0292 NA.g NA",9
"ASV_0293 Staphylococcaceae.g Staphylococcus",9
"ASV_0294 Streptococcaceae.g Streptococcus",9
"ASV_0295 Moraxellaceae.g Acinetobacter",9
"ASV_0296 Paludibacteraceae.g Paludibacter",9
"ASV_0297 Pasteurellaceae.g Mannheimia",9
"ASV_0298 Sphingobacteriaceae.g Pedobacter",9
"ASV_0299 Peptostreptococcaceae.g Romboutsia",9
"ASV_0300 Guggenheimella.g NA",9
"ASV_0301 Pseudomonadaceae.g Thiopseudomonas",4
"ASV_0302 Dysgonomonadaceae.g NA",9
"ASV_0303 Spirosomaceae.g Dyadobacter",9
"ASV_0304 Staphylococcaceae.g Staphylococcus",9
"ASV_0305 Family XI.g W5053",9
"ASV_0308 Pseudomonadaceae.g Pseudomonas",9
"ASV_0309 Spirosomaceae.g Dyadobacter",9
"ASV_0310 Sphingobacteriaceae.g Sphingobacterium",9
"ASV_0311 Devosiaceae.g Devosia",9
"ASV_0313 Staphylococcaceae.g Aliicoccus",9
"ASV_0314 Moraxellaceae.g Acinetobacter",9
"ASV_0315 Flavobacteriaceae.g Flavobacterium",9
"ASV_0316 Micrococcaceae.g Micrococcus",9
"ASV_0317 Pseudomonadaceae.g Pseudomonas",9
"ASV_0319 Flavobacteriaceae.g Flavobacterium",9
"ASV_0320 Oxalobacteraceae.g Duganella",9
"ASV_0321 Xanthobacteraceae.g Bradyrhizobium",9
"ASV_0323 Arcobacteraceae.g Arcobacter",4
"ASV_0325 Oxalobacteraceae.g Massilia",9
"ASV_0327 Family XI.g Peptoniphilus",9
"ASV_0328 Rhodobacteraceae.g NA",9
"ASV_0330 Xanthomonadaceae.g Stenotrophomonas",1
"ASV_0331 Promicromonosporaceae.g Promicromonospora",9
"ASV_0332 Alteromonadaceae.g Alishewanella",1
"ASV_0333 Carnobacteriaceae.g Jeotgalibaca",9
"ASV_0334 Fusobacteriaceae.g Fusobacterium",9
"ASV_0335 Moraxellaceae.g Acinetobacter",9
"ASV_0336 Solirubrobacteraceae.g Patulibacter",9
"ASV_0337 Erysipelotrichaceae.g Turicibacter",4
"ASV_0338 Family XI.g Helcococcus",9
"ASV_0340 Staphylococcaceae.g Jeotgalicoccus",4
"ASV_0341 Sphingomonadaceae.g Sphingomonas",9
"ASV_0342 Streptococcaceae.g Streptococcus",9
"ASV_0343 Clostridiaceae.g Clostridium sensu stricto 1",9
"ASV_0345 Weeksellaceae.g Chryseobacterium",9
"ASV_0346 Sphingobacteriaceae.g Pedobacter",9
"ASV_0347 NA.g NA",4
"ASV_0348 Alteromonadaceae.g Alishewanella",9
"ASV_0351 Enterococcaceae.g Tetragenococcus",4
"ASV_0352 Sphingobacteriaceae.g Pedobacter",1
"ASV_0354 Weeksellaceae.g Bergeyella",9
"ASV_0355 Pseudomonadaceae.g Pseudomonas",9
"ASV_0356 Micrococcaceae.g Enteractinococcus",9
"ASV_0357 Microbacteriaceae.g Clavibacter",9
"ASV_0358 Paenibacillaceae.g Paenibacillus",9
"ASV_0359 Lachnospiraceae.g Lachnospiraceae AC2044 group",9
"ASV_0363 Carnobacteriaceae.g Alloiococcus",9
"ASV_0365 Aerococcaceae.g Facklamia",4
"ASV_0367 Weeksellaceae.g Bergeyella",9
"ASV_0368 Pseudomonadaceae.g Pseudomonas",1
"ASV_0369 Sphingobacteriaceae.g Pedobacter",9
"ASV_0370 Dysgonomonadaceae.g Proteiniphilum",9
"ASV_0371 Nocardiaceae.g Nocardia",9
"ASV_0372 Oscillospiraceae.g UCG005",9
"ASV_0374 Sphingobacteriaceae.g Sphingobacterium",9
"ASV_0377 Sphingobacteriaceae.g Pedobacter",9
"ASV_0379 Rhizobiaceae.g Brucella",9
"ASV_0380 Pasteurellaceae.g Mannheimia",9
"ASV_0381 Chitinophagaceae.g Taibaiella",4
"ASV_0382 Erysipelotrichaceae.g Erysipelothrix",4
"ASV_0385 Pseudomonadaceae.g Thiopseudomonas",9
"ASV_0386 Xanthomonadaceae.g NA",9
"ASV_0388 Sphingomonadaceae.g Novosphingobium",9
"ASV_0389 Caulobacteraceae.g Brevundimonas",1
"ASV_0390 Sphingobacteriaceae.g Pedobacter",9
"ASV_0391 Weeksellaceae.g Chryseobacterium",9
"ASV_0393 Devosiaceae.g Devosia",9
"ASV_0395 Chitinophagaceae.g Filobacterium",9
"ASV_0396 Staphylococcaceae.g Aliicoccus",9
"ASV_0399 Flavobacteriaceae.g Flavobacterium",1
"ASV_0400 Weeksellaceae.g NA",1
"ASV_0401 Anaerovoracaceae.g Mogibacterium",9
"ASV_0404 Microbacteriaceae.g Pseudoclavibacter",9
"ASV_0405 Weeksellaceae.g Bergeyella",9
"ASV_0406 Dysgonomonadaceae.g Fermentimonas",4
"ASV_0409 Comamonadaceae.g Hydrogenophaga",9
"ASV_0411 Bacteroidaceae.g Bacteroides",9
"ASV_0413 Mitochondria.g NA",9
"ASV_0414 Moraxellaceae.g Moraxella",9
"ASV_0416 Intrasporangiaceae.g Ornithinimicrobium",4
"ASV_0417 Micrococcaceae.g Paeniglutamicibacter",9
"ASV_0418 Sphingobacteriaceae.g Pedobacter",9
"ASV_0419 Weeksellaceae.g NA",1
"ASV_0420 Lachnospiraceae.g Lachnospiraceae NK3A20 group",9
"ASV_0421 Micrococcaceae.g Kocuria",4
"ASV_0422 Bacteroidaceae.g Bacteroides",9
"ASV_0423 Sphingomonadaceae.g Sphingopyxis",9
"ASV_0426 Sphingomonadaceae.g Sphingomonas",9
"ASV_0431 UCG-010.g NA",4
"ASV_0432 Sphingobacteriaceae.g Pedobacter",9
"ASV_0436 Micrococcaceae.g Enteractinococcus",4
"ASV_0437 Comamonadaceae.g Alicycliphilus",9
"ASV_0440 Oxalobacteraceae.g Undibacterium",9
"ASV_0445 Microbacteriaceae.g Parafrigoribacterium",9
"ASV_0447 Xanthomonadaceae.g Luteimonas",9
"ASV_0448 Sphingomonadaceae.g Sphingomonas",9
"ASV_0453 Nocardioidaceae.g Aeromicrobium",9
"ASV_0454 Xanthobacteraceae.g NA",9
"ASV_0459 Acholeplasmataceae.g Acholeplasma",4
"ASV_0461 Devosiaceae.g Devosia",9
"ASV_0464 Staphylococcaceae.g NA",9
"ASV_0470 Carnobacteriaceae.g Atopostipes",9
"ASV_0478 [Eubacterium] coprostanoligenes group.g NA",4
"ASV_0479 Alteromonadaceae.g Rheinheimera",9
"ASV_0483 Comamonadaceae.g Acidovorax",9
"ASV_0491 Sphingomonadaceae.g Sphingomonas",9
"ASV_0495 Pseudomonadaceae.g Thiopseudomonas",9
"ASV_0500 UCG-010.g NA",4
"ASV_0508 Sphingobacteriaceae.g Sphingobacterium",9
"ASV_0510 Sphingomonadaceae.g Sphingopyxis",9
"ASV_0523 Micrococcaceae.g Micrococcus",9
"ASV_0535 Alteromonadaceae.g Rheinheimera",9
